date,datetime,NB_SCATS_SITE,NB_DETECTOR,interval,interval_index,time,volume,is_weekend
2026-03-01,2026-03-01 00:00:00,100,2,V00,0,00:00,48,True
2026-03-01,2026-03-01 00:15:00,100,2,V01,1,00:15,28,True
2026-03-01,2026-03-01 00:30:00,100,2,V02,2,00:30,23,True
2026-03-01,2026-03-01 00:45:00,100,2,V03,3,00:45,31,True
2026-03-01,2026-03-01 01:00:00,100,2,V04,4,01:00,17,True
2026-03-01,2026-03-01 01:15:00,100,2,V05,5,01:15,17,True
2026-03-01,2026-03-01 01:30:00,100,2,V06,6,01:30,5,True
2026-03-01,2026-03-01 01:45:00,100,2,V07,7,01:45,18,True
2026-03-01,2026-03-01 02:00:00,100,2,V08,8,02:00,10,True
2026-03-01,2026-03-01 02:15:00,100,2,V09,9,02:15,8,True
2026-03-01,2026-03-01 02:30:00,100,2,V10,10,02:30,5,True
2026-03-01,2026-03-01 02:45:00,100,2,V11,11,02:45,6,True
2026-03-01,2026-03-01 03:00:00,100,2,V12,12,03:00,8,True
2026-03-01,2026-03-01 03:15:00,100,2,V13,13,03:15,10,True
2026-03-01,2026-03-01 03:30:00,100,2,V14,14,03:30,5,True
2026-03-01,2026-03-01 03:45:00,100,2,V15,15,03:45,7,True
2026-03-01,2026-03-01 04:00:00,100,2,V16,16,04:00,3,True
2026-03-01,2026-03-01 04:15:00,100,2,V17,17,04:15,5,True
2026-03-01,2026-03-01 04:30:00,100,2,V18,18,04:30,6,True
2026-03-01,2026-03-01 04:45:00,100,2,V19,19,04:45,5,True
2026-03-01,2026-03-01 05:00:00,100,2,V20,20,05:00,5,True
2026-03-01,2026-03-01 05:15:00,100,2,V21,21,05:15,9,True
2026-03-01,2026-03-01 05:30:00,100,2,V22,22,05:30,14,True
2026-03-01,2026-03-01 05:45:00,100,2,V23,23,05:45,14,True
2026-03-01,2026-03-01 06:00:00,100,2,V24,24,06:00,23,True
2026-03-01,2026-03-01 06:15:00,100,2,V25,25,06:15,16,True
